state_fips,state_abbr,year,electric_bill_monthly,electric_bill_annual
02,AK,2024,143.53584877417222,1722.4301852900667
01,AL,2024,173.5022203022413,2082.0266436268957
05,AR,2024,129.1343815337616,1549.6125784051392
04,AZ,2024,160.23517792424425,1922.8221350909312
06,CA,2024,160.85994198568213,1930.3193038281856
08,CO,2024,100.57246680522691,1206.869601662723
09,CT,2024,199.65757438756884,2395.890892650826
11,DC,2024,113.22855888073279,1358.7427065687934
10,DE,2024,150.86932709338245,1810.4319251205893
12,FL,2024,156.08920923664542,1873.070510839745
13,GA,2024,151.24812558444074,1814.977507013289
15,HI,2024,212.12158538478994,2545.4590246174794
19,IA,2024,111.53776158680155,1338.4531390416187
16,ID,2024,108.72734574990314,1304.7281489988377
17,IL,2024,109.99164515058045,1319.8997418069655
18,IN,2024,133.05868542450315,1596.7042250940378
20,KS,2024,123.90171804868542,1486.820616584225
21,KY,2024,133.80527934437856,1605.6633521325427
22,LA,2024,140.96226507336766,1691.5471808804118
25,MA,2024,167.19977135966346,2006.3972563159614
24,MD,2024,165.87107945484993,1990.4529534581993
23,ME,2024,133.5951117928469,1603.1413415141628
26,MI,2024,119.30835853980274,1431.700302477633
27,MN,2024,110.05802901515328,1320.6963481818393
29,MO,2024,129.18442735540307,1550.213128264837
28,MS,2024,154.82551126144105,1857.9061351372925
30,MT,2024,107.90688370958252,1294.8826045149901
37,NC,2024,143.49871468575938,1721.9845762291125
38,ND,2024,118.3782887047273,1420.5394644567275
31,NE,2024,110.27733138947333,1323.32797667368
33,NH,2024,144.86976357425388,1738.4371628910467
34,NJ,2024,128.12851512914258,1537.5421815497111
35,NM,2024,92.87515837017065,1114.5019004420478
32,NV,2024,139.38584822114902,1672.6301786537883
36,NY,2024,139.53219543263847,1674.3863451916618
39,OH,2024,135.16102410399262,1621.9322892479113
40,OK,2024,132.04556446304716,1584.5467735565658
41,OR,2024,129.618858622607,1555.426303471284
42,PA,2024,145.17215699595394,1742.0658839514472
44,RI,2024,162.40364566821825,1948.843748018619
45,SC,2024,149.5072522033669,1794.087026440403
46,SD,2024,127.80956972084597,1533.7148366501517
47,TN,2024,143.31761579877008,1719.811389585241
48,TX,2024,163.7225796934506,1964.6709563214072
49,UT,2024,94.56786719052592,1134.814406286311
51,VA,2024,148.76788705883726,1785.2146447060472
50,VT,2024,125.65543071161049,1507.8651685393259
53,WA,2024,113.68200287050455,1364.1840344460545
55,WI,2024,110.86534893364943,1330.384187203793
54,WV,2024,154.75530975221668,1857.0637170266
56,WY,2024,107.64580969834482,1291.749716380138
