state_fips,state_abbr,year,survival_line_nominal_main,contract_rent_annual,electric_bill_annual,gas_bill_annual,food_reconstructed_annual,binding_min_wage
06,CA,2008,20765.376557702424,12420.0,973.1881017024248,765.0,6607.188456000001,8.0
06,CA,2012,21893.447979567653,13200.0,1054.9293395676516,548.4000000000001,7090.118640000001,8.0
06,CA,2016,23841.37285712515,15024.0,1142.4056571251472,710.4,6964.5672,10.0
06,CA,2020,,,1403.2315365422312,848.4000000000001,7705.190640000001,13.0
06,CA,2023,37386.18781902134,21840.0,1737.7598590213347,1310.4,12498.02796,15.5
12,FL,2008,18609.54839523635,9696.0,1566.180667236349,1264.2,6083.167728000001,6.789999961853027
12,FL,2012,19037.84385501226,9780.0,1481.3780630122565,1100.4,6676.065792000001,7.670000076293945
12,FL,2016,20376.620400996333,11172.0,1480.4848809963348,1216.2,6507.93552,8.050000190734863
12,FL,2020,,,1543.630681279266,1282.8,7037.18736,8.5600004196167
12,FL,2023,33661.15727334446,18636.0,2020.2505733444616,1510.2,11494.7067,12.0
17,IL,2008,16120.656016180068,8268.0,1015.516480180066,724.2,6112.939536000001,7.75
17,IL,2012,17450.93857895134,9024.0,1046.37328295134,495.6,6884.965296,8.25
17,IL,2016,18110.396370629976,9984.0,1101.9592506299769,472.8,6551.637119999999,8.25
17,IL,2020,,,1127.791355548439,476.4,7318.77888,10.0
17,IL,2023,26844.288573704816,12996.0,1261.2608137048144,694.2,11892.82776,13.0
36,NY,2008,19245.44299212545,10044.0,1301.7312961254513,1006.8,6892.911696000002,7.150000095367432
36,NY,2012,21027.65622079212,11580.0,1273.719036792122,778.2,7395.737184,7.25
36,NY,2016,22139.873472685384,13032.0,1254.916032685382,650.4,7202.5574400000005,9.699999809265137
36,NY,2020,,,1325.6789943366373,768.0,7635.695759999999,12.5
36,NY,2023,31700.73005319392,16872.0,1509.6169731939196,1014.0,12305.11308,14.2
48,TX,2008,15934.31096936397,7368.0,1766.3428493639703,825.0,5974.968120000001,6.550000190734863
48,TX,2012,17027.893927074445,8208.0,1539.2308390744442,633.0,6647.663088000001,7.25
48,TX,2016,18504.904572321226,9708.0,1525.2544923212265,703.8000000000001,6567.850079999999,7.25
48,TX,2020,,,1591.0969313696787,698.4000000000001,7091.15064,7.25
48,TX,2023,29173.10445029307,14652.0,1989.7872302930696,1043.4,11487.91722,7.25
