,count,mean,std,min,10%,50%,90%,max
binding_min_wage,816.0,8.35,1.83,6.55,7.25,7.25,11.0,17.0
annualized_mw_income,816.0,17367.62,3798.42,13624.0,15080.0,15080.0,22880.0,35360.0
survival_line_nominal_main,765.0,19325.29,4712.16,12467.49,14727.47,18092.68,26178.55,39817.81
mw_survival_gap_main,765.0,-2086.06,3254.92,-15805.54,-6447.65,-1259.25,1148.63,4636.11
mw_survival_ratio_main,765.0,0.91,0.14,0.49,0.72,0.92,1.07,1.25
contract_rent_annual,765.0,9765.99,3152.81,4764.0,6436.8,9036.0,14167.2,21840.0
food_reconstructed_annual,816.0,7419.86,1723.22,5186.57,6255.71,6694.39,10875.84,12917.1
electric_bill_annual,816.0,1354.19,269.98,758.92,1019.62,1337.57,1679.74,2658.31
gas_bill_annual,816.0,762.48,341.68,384.0,501.0,699.3,1008.9,3447.6
poverty_rate,663.0,13.73,3.18,7.2,10.1,13.2,18.5,24.2
median_hh_income,765.0,59107.56,13142.91,36646.0,44187.2,56811.0,76409.6,108210.0
rpp_all,816.0,97.52,6.94,85.02,89.51,96.67,108.81,114.24
