year,mw,mw_income,sl,gap,ratio,n_obs
2008,6.949,14454.369,15973.023,-1518.654,0.923,51
2009,7.415,15424.22,16339.255,-915.035,0.965,51
2010,7.448,15492.329,16566.753,-1074.423,0.953,51
2011,7.464,15524.141,17018.513,-1494.371,0.929,51
2012,7.513,15626.918,17319.254,-1692.336,0.919,51
2013,7.559,15722.761,17586.299,-1863.539,0.91,51
2014,7.714,16045.773,17845.935,-1800.162,0.913,51
2015,7.959,16555.576,18064.87,-1509.294,0.929,51
2016,8.179,17011.545,18240.805,-1229.259,0.943,51
2017,8.437,17549.082,18696.342,-1147.26,0.948,51
2018,8.624,17938.573,19126.585,-1188.012,0.945,51
2019,8.893,18497.318,19624.059,-1126.741,0.949,51
2020,9.276,19293.427,,,,0
2021,9.617,20002.667,23722.225,-3719.558,0.843,51
2022,10.046,20895.435,26144.52,-5249.085,0.797,51
2023,10.504,21847.749,27610.967,-5763.218,0.787,51
