state_fips,year,variable,value,lower_bound,upper_bound
01,2021,food_reconstructed_annual,9418.0102752,4409.7800999999945,9236.430915000004
01,2022,food_reconstructed_annual,10671.734304,4409.7800999999945,9236.430915000004
01,2023,food_reconstructed_annual,11074.57836,4409.7800999999945,9236.430915000004
02,2021,food_reconstructed_annual,10943.4937128,4409.7800999999945,9236.430915000004
02,2022,food_reconstructed_annual,11902.836792,4409.7800999999945,9236.430915000004
02,2023,food_reconstructed_annual,12138.77082,4409.7800999999945,9236.430915000004
04,2021,food_reconstructed_annual,9532.4165196,4409.7800999999945,9236.430915000004
04,2022,food_reconstructed_annual,11057.940431999998,4409.7800999999945,9236.430915000004
04,2023,food_reconstructed_annual,11464.97346,4409.7800999999945,9236.430915000004
05,2021,food_reconstructed_annual,9587.9652132,4409.7800999999945,9236.430915000004
05,2022,food_reconstructed_annual,10498.020455999998,4409.7800999999945,9236.430915000004
05,2023,food_reconstructed_annual,10898.63718,4409.7800999999945,9236.430915000004
06,2021,food_reconstructed_annual,10843.4258496,4409.7800999999945,9236.430915000004
06,2022,food_reconstructed_annual,12221.40612,4409.7800999999945,9236.430915000004
06,2023,food_reconstructed_annual,12498.02796,4409.7800999999945,9236.430915000004
08,2021,food_reconstructed_annual,10204.9166784,4409.7800999999945,9236.430915000004
08,2022,food_reconstructed_annual,11402.775384,4409.7800999999945,9236.430915000004
08,2023,food_reconstructed_annual,11609.89374,4409.7800999999945,9236.430915000004
09,2021,food_reconstructed_annual,9724.9318476,4409.7800999999945,9236.430915000004
09,2022,food_reconstructed_annual,11396.23716,4409.7800999999945,9236.430915000004
09,2023,food_reconstructed_annual,11542.116,4409.7800999999945,9236.430915000004
10,2021,food_reconstructed_annual,9477.9707784,4409.7800999999945,9236.430915000004
10,2022,food_reconstructed_annual,10668.690648,4409.7800999999945,9236.430915000004
10,2023,food_reconstructed_annual,11389.3527,4409.7800999999945,9236.430915000004
11,2021,food_reconstructed_annual,10812.6434508,4409.7800999999945,9236.430915000004
11,2022,food_reconstructed_annual,12097.179863999998,4409.7800999999945,9236.430915000004
11,2023,food_reconstructed_annual,12472.39182,4409.7800999999945,9236.430915000004
12,2021,food_reconstructed_annual,9862.1992872,4409.7800999999945,9236.430915000004
12,2022,food_reconstructed_annual,11049.485831999998,4409.7800999999945,9236.430915000004
12,2023,food_reconstructed_annual,11494.7067,4409.7800999999945,9236.430915000004
13,2021,food_reconstructed_annual,9688.1333448,4409.7800999999945,9236.430915000004
13,2022,food_reconstructed_annual,11005.747368,4409.7800999999945,9236.430915000004
13,2023,food_reconstructed_annual,11436.41082,4409.7800999999945,9236.430915000004
15,2021,food_reconstructed_annual,11044.1631864,4409.7800999999945,9236.430915000004
15,2022,food_reconstructed_annual,12620.914152,4409.7800999999945,9236.430915000004
15,2023,food_reconstructed_annual,12917.102760000002,4409.7800999999945,9236.430915000004
16,2021,food_reconstructed_annual,9687.5317344,4409.7800999999945,9236.430915000004
16,2022,food_reconstructed_annual,10828.877136,4409.7800999999945,9236.430915000004
16,2023,food_reconstructed_annual,11226.17106,4409.7800999999945,9236.430915000004
17,2021,food_reconstructed_annual,10397.83308,4409.7800999999945,9236.430915000004
17,2022,food_reconstructed_annual,11582.125631999996,4409.7800999999945,9236.430915000004
17,2023,food_reconstructed_annual,11892.82776,4409.7800999999945,9236.430915000004
18,2021,food_reconstructed_annual,9595.0842696,4409.7800999999945,9236.430915000004
18,2022,food_reconstructed_annual,10625.628552,4409.7800999999945,9236.430915000004
18,2023,food_reconstructed_annual,11187.65832,4409.7800999999945,9236.430915000004
19,2021,food_reconstructed_annual,9432.4489248,4409.7800999999945,9236.430915000004
19,2022,food_reconstructed_annual,10518.311496,4409.7800999999945,9236.430915000004
19,2023,food_reconstructed_annual,11310.80544,4409.7800999999945,9236.430915000004
20,2021,food_reconstructed_annual,9405.3764568,4409.7800999999945,9236.430915000004
20,2022,food_reconstructed_annual,10548.5226,4409.7800999999945,9236.430915000004
20,2023,food_reconstructed_annual,11294.65116,4409.7800999999945,9236.430915000004
21,2021,food_reconstructed_annual,9421.1185956,4409.7800999999945,9236.430915000004
21,2022,food_reconstructed_annual,10602.857496,4409.7800999999945,9236.430915000004
21,2023,food_reconstructed_annual,11066.61828,4409.7800999999945,9236.430915000004
22,2021,food_reconstructed_annual,9541.9420176,4409.7800999999945,9236.430915000004
22,2022,food_reconstructed_annual,10591.246511999998,4409.7800999999945,9236.430915000004
22,2023,food_reconstructed_annual,10887.63354,4409.7800999999945,9236.430915000004
23,2021,food_reconstructed_annual,9949.3325268,4409.7800999999945,9236.430915000004
23,2022,food_reconstructed_annual,11395.898976,4409.7800999999945,9236.430915000004
23,2023,food_reconstructed_annual,11510.62686,4409.7800999999945,9236.430915000004
24,2021,food_reconstructed_annual,10379.0828892,4409.7800999999945,9236.430915000004
24,2022,food_reconstructed_annual,11597.005728,4409.7800999999945,9236.430915000004
24,2023,food_reconstructed_annual,12086.32794,4409.7800999999945,9236.430915000004
25,2021,food_reconstructed_annual,10591.6518972,4409.7800999999945,9236.430915000004
25,2022,food_reconstructed_annual,12071.928792,4409.7800999999945,9236.430915000004
25,2023,food_reconstructed_annual,11710.91652,4409.7800999999945,9236.430915000004
26,2021,food_reconstructed_annual,9495.2169432,4409.7800999999945,9236.430915000004
26,2022,food_reconstructed_annual,10513.57692,4409.7800999999945,9236.430915000004
26,2023,food_reconstructed_annual,11213.29446,4409.7800999999945,9236.430915000004
27,2021,food_reconstructed_annual,10051.6062948,4409.7800999999945,9236.430915000004
27,2022,food_reconstructed_annual,11258.370816,4409.7800999999945,9236.430915000004
27,2023,food_reconstructed_annual,11947.1436,4409.7800999999945,9236.430915000004
28,2021,food_reconstructed_annual,9448.0907952,4409.7800999999945,9236.430915000004
28,2022,food_reconstructed_annual,10616.272128,4409.7800999999945,9236.430915000004
28,2023,food_reconstructed_annual,11055.49758,4409.7800999999945,9236.430915000004
29,2021,food_reconstructed_annual,9873.3290796,4409.7800999999945,9236.430915000004
29,2022,food_reconstructed_annual,10901.812152,4409.7800999999945,9236.430915000004
29,2023,food_reconstructed_annual,11389.938,4409.7800999999945,9236.430915000004
30,2021,food_reconstructed_annual,9702.471726,4409.7800999999945,9236.430915000004
30,2022,food_reconstructed_annual,10864.048271999998,4409.7800999999945,9236.430915000004
30,2023,food_reconstructed_annual,11294.06586,4409.7800999999945,9236.430915000004
31,2021,food_reconstructed_annual,9483.385272,4409.7800999999945,9236.430915000004
31,2022,food_reconstructed_annual,10580.762808,4409.7800999999945,9236.430915000004
31,2023,food_reconstructed_annual,11301.79182,4409.7800999999945,9236.430915000004
32,2021,food_reconstructed_annual,9701.7698472,4409.7800999999945,9236.430915000004
32,2022,food_reconstructed_annual,10944.648792,4409.7800999999945,9236.430915000004
32,2023,food_reconstructed_annual,11334.68568,4409.7800999999945,9236.430915000004
33,2021,food_reconstructed_annual,10239.108202800002,4409.7800999999945,9236.430915000004
33,2022,food_reconstructed_annual,11790.559704,4409.7800999999945,9236.430915000004
33,2023,food_reconstructed_annual,11710.91652,4409.7800999999945,9236.430915000004
34,2021,food_reconstructed_annual,10209.9300984,4409.7800999999945,9236.430915000004
34,2022,food_reconstructed_annual,11808.708912,4409.7800999999945,9236.430915000004
34,2023,food_reconstructed_annual,12380.38266,4409.7800999999945,9236.430915000004
35,2021,food_reconstructed_annual,9709.8915876,4409.7800999999945,9236.430915000004
35,2022,food_reconstructed_annual,11014.765608,4409.7800999999945,9236.430915000004
35,2023,food_reconstructed_annual,11403.63402,4409.7800999999945,9236.430915000004
36,2021,food_reconstructed_annual,10199.702721600002,4409.7800999999945,9236.430915000004
36,2022,food_reconstructed_annual,11767.788648,4409.7800999999945,9236.430915000004
36,2023,food_reconstructed_annual,12305.11308,4409.7800999999945,9236.430915000004
37,2021,food_reconstructed_annual,9648.9284004,4409.7800999999945,9236.430915000004
37,2022,food_reconstructed_annual,10772.28768,4409.7800999999945,9236.430915000004
37,2023,food_reconstructed_annual,11330.58858,4409.7800999999945,9236.430915000004
38,2021,food_reconstructed_annual,9445.1830116,4409.7800999999945,9236.430915000004
38,2022,food_reconstructed_annual,10602.857496,4409.7800999999945,9236.430915000004
38,2023,food_reconstructed_annual,11354.35176,4409.7800999999945,9236.430915000004
39,2021,food_reconstructed_annual,9471.353064,4409.7800999999945,9236.430915000004
39,2022,food_reconstructed_annual,10410.656256,4409.7800999999945,9236.430915000004
39,2023,food_reconstructed_annual,11021.43312,4409.7800999999945,9236.430915000004
40,2021,food_reconstructed_annual,9607.0162092,4409.7800999999945,9236.430915000004
40,2022,food_reconstructed_annual,10553.59536,4409.7800999999945,9236.430915000004
40,2023,food_reconstructed_annual,10926.61452,4409.7800999999945,9236.430915000004
41,2021,food_reconstructed_annual,10675.3760112,4409.7800999999945,9236.430915000004
41,2022,food_reconstructed_annual,12301.555728,4409.7800999999945,9236.430915000004
41,2023,food_reconstructed_annual,12265.312680000005,4409.7800999999945,9236.430915000004
42,2021,food_reconstructed_annual,9559.087914,4409.7800999999945,9236.430915000004
42,2022,food_reconstructed_annual,10919.848632,4409.7800999999945,9236.430915000004
42,2023,food_reconstructed_annual,11522.33286,4409.7800999999945,9236.430915000004
44,2021,food_reconstructed_annual,9846.0560748,4409.7800999999945,9236.430915000004
44,2022,food_reconstructed_annual,11389.248024,4409.7800999999945,9236.430915000004
44,2023,food_reconstructed_annual,11504.53974,4409.7800999999945,9236.430915000004
45,2021,food_reconstructed_annual,9633.587335200002,4409.7800999999945,9236.430915000004
45,2022,food_reconstructed_annual,10649.414159999998,4409.7800999999945,9236.430915000004
45,2023,food_reconstructed_annual,11231.672879999998,4409.7800999999945,9236.430915000004
46,2021,food_reconstructed_annual,9405.075651600002,4409.7800999999945,9236.430915000004
46,2022,food_reconstructed_annual,10592.48652,4409.7800999999945,9236.430915000004
46,2023,food_reconstructed_annual,11401.644,4409.7800999999945,9236.430915000004
47,2021,food_reconstructed_annual,9413.3979288,4409.7800999999945,9236.430915000004
47,2022,food_reconstructed_annual,10650.203256,4409.7800999999945,9236.430915000004
47,2023,food_reconstructed_annual,11037.5874,4409.7800999999945,9236.430915000004
48,2021,food_reconstructed_annual,9875.936058,4409.7800999999945,9236.430915000004
48,2022,food_reconstructed_annual,10959.190704,4409.7800999999945,9236.430915000004
48,2023,food_reconstructed_annual,11487.91722,4409.7800999999945,9236.430915000004
49,2021,food_reconstructed_annual,9668.38047,4409.7800999999945,9236.430915000004
49,2022,food_reconstructed_annual,10706.341799999998,4409.7800999999945,9236.430915000004
49,2023,food_reconstructed_annual,11087.80614,4409.7800999999945,9236.430915000004
50,2021,food_reconstructed_annual,9861.2968716,4409.7800999999945,9236.430915000004
50,2022,food_reconstructed_annual,11324.542152,4409.7800999999945,9236.430915000004
50,2023,food_reconstructed_annual,11456.19396,4409.7800999999945,9236.430915000004
51,2021,food_reconstructed_annual,10169.421664799998,4409.7800999999945,9236.430915000004
51,2022,food_reconstructed_annual,11328.262176,4409.7800999999945,9236.430915000004
51,2023,food_reconstructed_annual,11834.88306,4409.7800999999945,9236.430915000004
53,2021,food_reconstructed_annual,11225.6489904,4409.7800999999945,9236.430915000004
53,2022,food_reconstructed_annual,12799.588032,4409.7800999999945,9236.430915000004
53,2023,food_reconstructed_annual,12508.21218,4409.7800999999945,9236.430915000004
54,2021,food_reconstructed_annual,9687.8325396,4409.7800999999945,9236.430915000004
54,2022,food_reconstructed_annual,10654.712376,4409.7800999999945,9236.430915000004
54,2023,food_reconstructed_annual,11197.72548,4409.7800999999945,9236.430915000004
55,2021,food_reconstructed_annual,9539.4353076,4409.7800999999945,9236.430915000004
55,2022,food_reconstructed_annual,10430.1582,4409.7800999999945,9236.430915000004
55,2023,food_reconstructed_annual,11039.3433,4409.7800999999945,9236.430915000004
56,2021,food_reconstructed_annual,9664.5702708,4409.7800999999945,9236.430915000004
56,2022,food_reconstructed_annual,10913.19768,4409.7800999999945,9236.430915000004
56,2023,food_reconstructed_annual,11367.46248,4409.7800999999945,9236.430915000004
